Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
猿,猴子,動物園で猿を見ました。,我在动物园看到了猴子。,<ruby>動物園<rt>どうぶつえん</rt></ruby>で<ruby>猿<rt>さる</rt></ruby>を<ruby>見ました<rt>みました</rt></ruby>。,<ol><li>動物園（どうぶつえん）：动物园。「動物」是动物，「園」是园。</li><li>で：表示动作发生的场所，相当于中文“在”。</li><li>猿（さる）：猴子。这是日语常用的动物名词。</li><li>を：宾语助词，标记动作对象。</li><li>見ました（みました）：「見る」的敬体过去式，表示“看到了”。</li><li>语法点：句型“〜で〜を見ました”常用于描述在某地看到了某物。</li></ol>,[sound:jlpt_vocabulary_in_sentence_猿.mp3]
騒ぎ,骚动,駅前で大きな騒ぎが起きました。,车站前发生了大的骚动。,<ruby>駅前<rt>えきまえ</rt></ruby>で<ruby>大きな<rt>おおきな</rt></ruby><ruby>騒ぎ<rt>さわぎ</rt></ruby>が<ruby>起きました<rt>おきました</rt></ruby>。,<ol><li>駅前（えきまえ）：车站前的位置。其中「駅」（えき）是车站，「前」（まえ）是前面。</li><li>大きな：表示“大”的意思，是形容动词「大きい」的连体形，用于修饰名词。</li><li>騒ぎ（さわぎ）：名词，表示“骚动、喧闹”。用来指人群混乱、吵闹的场面。</li><li>が：助词，标记主语。</li><li>起きました（おきました）：动词「起きる」（发生、出现）的过去敬体形，表示某事发生了。</li><li>语法说明：「～が起きる」结构表示“某事发生”。</li><li>文化补充：在日本，车站前人流大，偶尔会有突发事件或骚动，需要注意安全。</li></ol>,[sound:jlpt_vocabulary_in_sentence_騒ぎ.mp3]
参加,参加,私は会議に参加します。,我参加会议。,<ruby>私<rt>わたし</rt></ruby>は<ruby>会議<rt>かいぎ</rt></ruby>に<ruby>参加します<rt>さんかします</rt></ruby>。,<ol><li>私（わたし）：第一人称，意为“我”。</li><li>は：主题提示助词，表明主语。假名为“は”时作为助词读作“わ”。</li><li>会議（かいぎ）：名词，意思是“会议”。</li><li>に：表示动作的目标、目的地，这里表示动作的参与对象。</li><li>参加します（さんかします）：动词“参加する”的ます形，表示“参加”。“参加”是汉字词，常用于活动、会议等场合。</li><li>句子结构：“～に参加します”，表示“去参加某事”。这里动词要用“に”指出具体参加的事物，“参加”多用于正式、集体性的活动。</li></ol>,[sound:jlpt_vocabulary_in_sentence_参加.mp3]
参考,参照、借鉴,この資料を参考にしてください。,请参考这份资料。,この<ruby>資料<rt>しりょう</rt></ruby>を<ruby>参考<rt>さんこう</rt></ruby>にしてください。,<ol><li>資料（しりょう）：指资料、材料，常用于学习、工作中需要查阅的文献、数据等。</li><li>参考（さんこう）：作为名词和动词使用时，表示作为判断或行动的依据。动词形式为「参考にする」表示借鉴、参考。</li><li>～を～にする：日语中表示“把A作为B”，句中「資料を参考にする」即“把资料作为参考”。</li><li>してください：是「する」（做）的敬语命令形「してください」，用于请求对方进行某个动作，表达礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_参考.mp3]
賛成,赞成,私はその意見に賛成します。,我赞成那个意见。,<ruby>私<rt>わたし</rt></ruby>はその<ruby>意見<rt>いけん</rt></ruby>に<ruby>賛成<rt>さんせい</rt></ruby>します。,<ol><li>私（わたし）：第一人称，表示“我”。</li><li>その：指示词，表示离听话人较近的事物，这里指“那个”。</li><li>意見（いけん）：名词，“意见”。</li><li>に：助词，表示作用的对象，这里译作“对……”。</li><li>賛成（さんせい）：名词和动词用法，“赞成”。此处和「します」搭配构成“赞成（某事）”。</li><li>します：动词“する”的敬体形式，意为“做”。</li><li>语法补充：「に賛成する」为固定用法，表示“赞成某件事”。助词“に”表明赞成的对象。</li></ol>,[sound:jlpt_vocabulary_in_sentence_賛成.mp3]
酸性,酸性,レモンは酸性の食品です。,柠檬是酸性的食物。,レモンは<ruby>酸性<rt>さんせい</rt></ruby>の<ruby>食品<rt>しょくひん</rt></ruby>です。,<ol><li>レモン：Lemon，外来语，指柠檬。</li><li>は：日语主格助词，标记主语或主题。</li><li>酸性（さんせい）：表示物质呈现酸的性质。</li><li>の：连接词，表示“的”，连接修饰语与被修饰语。</li><li>食品（しょくひん）：食品、食物。</li><li>です：礼貌的句末助动词，表示陈述。</li><li>“酸性”一词日常用于科学、食品、化学等领域。和“アルカリ性”（碱性，あるかりせい）相对。</li><li>主语后加“は”突出强调主题，是日语中常用的表达结构。</li></ol>,[sound:jlpt_vocabulary_in_sentence_酸性.mp3]
酸素,氧气,酸素がなければ生きられません。,没有氧气就无法生存。,<ruby>酸素<rt>さんそ</rt></ruby>がなければ<ruby>生きられ<rt>いきられ</rt></ruby>ません,<ol><li>酸素（さんそ）：指代氧气，是空气的主要成分之一，发音为さんそ。</li><li>が：表示主语的助词。</li><li>なければ：来自「ない」的假定形，表示如果没有……。</li><li>生きられません：是「生きる」（生存）的可能态否定，表示“不能生存”。</li><li>整句语法：『AがなければB』，表示“如果没有A就不能B”。用在条件句中是典型用法。</li></ol>,[sound:jlpt_vocabulary_in_sentence_酸素.mp3]
氏,氏族；家族,彼の氏は田中です。,他的姓是田中。,<ruby>彼<rt>かれ</rt></ruby>の<ruby>氏<rt>し</rt></ruby>は<ruby>田中<rt>たなか</rt></ruby>です。,<ol><li>彼（かれ）：指男性第三人称“他”。</li><li>の：助词，表所属关系，相当于中文“的”。</li><li>氏（し）：姓氏、氏族，常用于正式或书面场合，如“田中氏”。还有读作“うじ”时表示古代的氏族名，一般不用作姓氏介绍。</li><li>は：提示助词，用于提示主题，相当于“是”。</li><li>田中（たなか）：一个常见日本姓氏。</li><li>です：礼貌句末用语，相当于“是”。</li><li>语法知识：句型“名词1は名词2です。”用来介绍属性。“氏”在现代日语中多用于文书、表格等正式场合表明姓氏，而口语常用“名字（苗字・みょうじ）”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_氏.mp3]
詩,诗歌,彼は美しい詩を書きました。,他写了美丽的诗。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>美しい<rt>うつくしい</rt></ruby><ruby>詩<rt>し</rt></ruby>を<ruby>書きました<rt>かきました</rt></ruby>。,<ol><li>彼（かれ）：指“他”，表示第三人称男性。</li><li>美しい（うつくしい）：形容词，意为“美丽的”。</li><li>詩（し）：名词，意思是“诗歌”、“诗”。</li><li>を：助词，表示宾语，为动作的对象。</li><li>書きました（かきました）：动词“書く（写）”的过去敬体形式，表示已经写过。</li><li>语法点：日语用“を”表示动作的直接对象，动词末尾用“ました”构成敬体过去式。</li><li>文化背景：日本有独特的诗歌形式，如“俳句（はいく）”和“和歌（わか）”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_詩.mp3]
幸せ,幸福,彼女は幸せそうに笑った。,她看起来很幸福地笑了。,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>幸せそう<rt>しあわせそう</rt></ruby>に<ruby>笑った<rt>わらった</rt></ruby>。,<ol><li>彼女（かのじょ）：指“她、女朋友、女性”。</li><li>は：主题助词，用于提示主语。</li><li>幸せそう（しあわせそう）：“幸せ”意为“幸福”；“そう”表示样子，故“幸せそう”译为“看起来很幸福”。</li><li>に：让形容词修饰动词，转为副词用法。</li><li>笑った（わらった）：动词“笑う（わらう，笑）”的过去式，“笑了”。</li><li>“Aそうに”语法用法：表示看起来怎么怎么样，通常用于形容词后。</li></ol>,[sound:jlpt_vocabulary_in_sentence_幸せ.mp3]
ジーンズ,牛仔裤,私は青いジーンズを持っています。,我有一条蓝色的牛仔裤。,<ruby>私<rt>わたし</rt></ruby>は<ruby>青い<rt>あおい</rt></ruby>ジーンズを<ruby>持っています<rt>もっています</rt></ruby>。,<ol><li>私（わたし）：第一人称，意思是“我”。</li><li>は：助词，主题标记，表明句子的主题。</li><li>青い（あおい）：形容词，意思是“蓝色的”。</li><li>ジーンズ：外来语，意思是“牛仔裤”。源于英文“jeans”，在日语中用于表示日常穿的牛仔裤。</li><li>を：助词，表示动作的对象，这里是“牛仔裤”。</li><li>持っています（もっています）：动词“持つ（もつ）”的ている形式，表示现在拥有某物。</li><li>句型“〜を持っています”用于表示“拥有～、持有～”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ジーンズ.mp3]
ジェット機,喷气式飞机,ジェット機が空を飛んでいます。,喷气式飞机正在天空中飞行。,<ruby>ジェット機<rt>じぇっとき</rt></ruby>が<ruby>空<rt>そら</rt></ruby>を<ruby>飛んで<rt>とんで</rt></ruby>います。,<ol><li>ジェット機（じぇっとき）：喷气式飞机。外来语“ジェット”（jet）和日语“機（き）”结合。</li><li>が：主格助词，标明主语。</li><li>空（そら）：天空。</li><li>を：宾格助词，标明动作的对象。</li><li>飛んでいます（とんでいます）：动词“飞ぶ（とぶ）”的て形加「います」，表示动作正在进行（现在进行时）。</li><li>语法：「动词て形+います」——表示某动作正在进行，对于描述现在正在发生的动作很常用。</li><li>日本民航、军用皆有「ジェット機」，多见于机场、高空等场合。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ジェット機.mp3]
四角,四个角,この部屋には四角い窓があります。,这个房间有四方形的窗户。,<ruby>この<rt>この</rt></ruby><ruby>部屋<rt>へや</rt></ruby><ruby>には<rt>には</rt></ruby><ruby>四角い<rt>しかくい</rt></ruby><ruby>窓<rt>まど</rt></ruby><ruby>が<rt>が</rt></ruby><ruby>あります<rt>あります</rt></ruby>。,<ol><li>四角い（しかくい）：形容词，意思是“四方形、四角形”，来自于名词“四角（しかく）”，加上形容词后缀い，表示具有某种形状。</li><li>部屋（へや）：房间。</li><li>窓（まど）：窗户。</li><li>「この～には～があります」：表示在某处有某物。结构为「场所+には+东西+があります」，是基本的存在句。</li></ol>,[sound:jlpt_vocabulary_in_sentence_四角.mp3]
直に,直接地,先生に直に質問しました。,我直接向老师提问了。,<ruby>先生<rt>せんせい</rt></ruby>に<ruby>直に<rt>じかに</rt></ruby><ruby>質問<rt>しつもん</rt></ruby><ruby>しました<rt>しました</rt></ruby>。,<ol><li>先生（せんせい）：老师。</li><li>に：日语助词，表示动作的对象或目标。</li><li>直に（じかに）：副词，意为“直接地”，强调不经过中间环节或第三方。</li><li>質問（しつもん）：名词，意为“问题、提问”。动词形式“質問する”为“提问”。</li><li>しました：动词“する”的过去式，表示“做了某事”。</li><li>日语中的“直に”还有“じきに（不久、马上）”的读音，但在表示“直接地”时，只念“じかに”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_直に.mp3]
しかも,而且,彼は優しく、しかも頭が良いです。,他很温柔，而且很聪明。,<ruby>彼は<rt>かれは</rt></ruby><ruby>優しく<rt>やさしく</rt></ruby>、<ruby>しかも<rt>しかも</rt></ruby><ruby>頭が<rt>あたまが</rt></ruby><ruby>良い<rt>よい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li>彼（かれ）：意思是“他”。</li><li>優しく（やさしく）：形容词“優しい”的副词形式，意思是“温柔地”，“温和”。</li><li>しかも：连接词，意思是“而且”、“并且”，用来表示递进关系，强调后项的优越性或附加信息。</li><li>頭が良い（あたまがよい）：惯用表达，表示“聪明”，字面意思是“大脑好”。</li><li>～です：句末礼貌表达。</li><li>语法：“A、しかもB”结构，用来连接两个优点、特征或事实，B部分通常比A更突出或强调补充说明。</li></ol>,[sound:jlpt_vocabulary_in_sentence_しかも.mp3]
四季,四季,日本には四季がはっきりあります。,日本有分明的四季。,<ruby>日本<rt>にほん</rt></ruby>には<ruby>四季<rt>しき</rt></ruby>がはっきりあります。,<ol><li>日本（にほん）：国家名，日本。</li><li>には：助词「に」表示地点，「は」为主题提示助词，合用强调“在日本”的语境。</li><li>四季（しき）：指春夏秋冬四个季节。</li><li>が：主格助词，表示前面的“四季”为主语。</li><li>はっきり：副词，表示“分明、清楚”。</li><li>あります：动词「ある」的敬体，表示存在，多用于无生命物体。</li><li>“四季がはっきりある”指的是四季变化明显，日本气候特征之一，喜欢在日常会话、作文中描述。</li></ol>,[sound:jlpt_vocabulary_in_sentence_四季.mp3]
直,直接,彼は直に答えを教えてくれた。,他直接告诉了我答案。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>直に<rt>じかに</rt></ruby><ruby>答え<rt>こたえ</rt></ruby>を<ruby>教えて<rt>おしえて</rt></ruby>くれた,<ol><li>彼（かれ）：他。</li><li>は：主语助词。</li><li>直に（じかに）：副词，表示“直接地”，即无需经过中介或转述。</li><li>答え（こたえ）：名词，答案。</li><li>を：宾语助词。</li><li>教えてくれた：动词“教える”（教，告诉）的て形＋くれる（表示“为我做…”），合起来意为“告诉了我”。</li><li>“直”读作じか，在此表达“直接，不经过其他人”。也可写作“じきに”，表示“马上，立刻”，用法和此句不同。</li></ol>,[sound:jlpt_vocabulary_in_sentence_直.mp3]
時期,时期,学生の時期はとても大切です。,学生时期非常重要。,<ruby>学生<rt>がくせい</rt></ruby>の<ruby>時期<rt>じき</rt></ruby>はとても<ruby>大切<rt>たいせつ</rt></ruby>です。,<ol><li>学生（がくせい）：指在校学生。</li><li>の：表示所属关系，相当于汉语的“的”。</li><li>時期（じき）：表示某个特定阶段或时间段，常用于描述人生或事物的发展阶段。</li><li>は：主题助词，用于提示句子的主题。</li><li>とても：副词，表示“非常、很”。</li><li>大切（たいせつ）：形容动词，意为“重要、珍贵”。</li><li>です：礼貌语尾，表判断或断定。</li><li>语法：“名词+の+名词”中，“の”起到修饰的作用。</li></ol>,[sound:jlpt_vocabulary_in_sentence_時期.mp3]
支給,发放,会社は交通費を支給します。,公司会发放交通费。,<ruby>会社<rt>かいしゃ</rt></ruby>は<ruby>交通費<rt>こうつうひ</rt></ruby>を<ruby>支給<rt>しきゅう</rt></ruby>します。,<ol><li>会社（かいしゃ）：公司。</li><li>は：主题助词，指明句子主语。</li><li>交通費（こうつうひ）：交通费用。</li><li>を：宾语助词，指明动作的对象。</li><li>支給（しきゅう）：名词，表示“发放、支付”。用作动词时后接“します”。</li><li>します：“する”的敬体，连接名词“支給”构成动词“支給します”，意为“发放”。</li><li>文化背景：在日本，公司通常会为员工报销或补贴上下班的交通费用，这种做法叫做“交通費支給”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_支給.mp3]
至急,火速、紧急,至急この書類を送ってください。,请紧急把这份文件寄出去。,<ruby>至急<rt>しきゅう</rt></ruby>この<ruby>書類<rt>しょるい</rt></ruby>を<ruby>送って<rt>おくって</rt></ruby>ください。,<ol><li>至急（しきゅう）：表示“火速、紧急”，常用于要求对方尽快处理某事，商务邮件或通知中经常出现。</li><li>この：指示代词，意为“这、这个”。</li><li>書類（しょるい）：名词，表示“文件、资料”。</li><li>を：宾语助词，表明前面的内容为动作对象。</li><li>送ってください：「送る」（おくる）的て形加「ください」，表示请求或命令对方“请寄送”。“てください”是常见的客气请求表达。</li><li>日本职场中，用“至急”强调时间敏感性，有时也用于口头表达，需判断场合使用，避免太强硬。</li></ol>,[sound:jlpt_vocabulary_in_sentence_至急.mp3]
