Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
上げる,提高，举起,手を上げてください。,请举起手。,<ruby>手<rt>て</rt></ruby>を<ruby>上げて<rt>あげて</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li><ruby>て</ruby><rt>て</rt></ruby>形+ください：表示请求别人做某事，例如：見せてください。</li><li>动词ます形+たい：表示想做某事，例如：食べたい。</li></ol>,[sound:jlpt_vocabulary_in_sentence_上げる.mp3]
朝,早晨,朝ごはんを食べました。,我吃了早饭。,<ruby>朝ごはん<rt>あさごはん</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>食べました<rt>たべました</rt></ruby>。,<ol><li><ruby>を</ruby><rt>を</rt>：表示动作的宾语，如「水を飲みます」。</li><li><ruby>ました</ruby><rt>ました</rt>：动词“ます”形的过去式，如「見ました」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_朝.mp3]
朝御飯,早餐,朝御飯を毎日食べます。,我每天吃早餐。,<ruby>朝御飯<rt>あさごはん</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>毎日<rt>まいにち</rt></ruby><ruby>食べます<rt>たべます</rt></ruby>。,<ol><li>助词「を」用于表示动作的对象。例如：本を読む。</li><li>动词<ruby>ます<rt>ます</rt></ruby>形表示礼貌现在时。例如：食べます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_朝御飯.mp3]
明後日,后天,明後日は友達と出かけます。,后天我要和朋友出去。,<ruby>明後日<rt>あさって</rt></ruby>は<ruby>友達<rt>ともだち</rt></ruby>と<ruby>出かけます<rt>でかけます</rt></ruby>。,<ol><li>助词「は」表示主题，例如：私は学生です。</li><li>动词ます形用于表达礼貌语气，例如：食べます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_明後日.mp3]
足; 脚,脚,私の足がとても疲れています。,我的脚非常累。,<ruby>私<rt>わたし</rt></ruby>の<ruby>足<rt>あし</rt></ruby>がとても<ruby>疲れています<rt>つかれています</rt></ruby>。,<ol><li>「の」表示所属，比如「私<ruby>の<rt>の</rt></ruby>本」（我的书）。</li><li>动词「～ています」表示动作的持续，如「勉強しています」（正在学习）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_足; 脚.mp3]
明日,明天,明日は友達と映画を見ます。,明天和朋友去看电影。,<ruby>明日<rt>あした</rt></ruby>は<ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>を<ruby>見ます<rt>みます</rt></ruby>。,<ol><li>助词「は」用来提示主语，例如：<ruby>私は<rt>わたしは</rt></ruby>学生です。</li><li>动词ます形表示礼貌语气，例如：食べます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_明日.mp3]
あそこ,那里,あそこに公園があります。,那里有公园。,あそこに<ruby>公園<rt>こうえん</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li><ruby>に</ruby><rt>に</rt>表示地点，后接存在类动词。如：机の上に猫がいます。</li><li><ruby>が</ruby><rt>が</rt>表示主语，常用于介绍新信息。如：犬がいます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あそこ.mp3]
遊ぶ,玩耍,子どもたちは公園で遊ぶ。,孩子们在公园里玩耍。,<ruby>子どもたち<rt>こどもたち</rt></ruby>は<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊ぶ<rt>あそぶ</rt></ruby>。,<ol><li><ruby>で</ruby><rt>で</rt>：表示动作发生的场所，如“公園で遊ぶ”。</li><li><ruby>は</ruby><rt>は</rt>：表示主题，如“子どもたちは”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_遊ぶ.mp3]
暖かい,温暖的,今日は暖かいので、散歩します。,因为今天很暖和，所以去散步。,<ruby>今日<rt>きょう</rt></ruby>は<ruby>暖かい<rt>あたたかい</rt></ruby>ので、<ruby>散歩<rt>さんぽ</rt></ruby>します。,<ol><li><ruby>ので<rt>ので</rt></ruby>：表示原因，相当于“因为”。例：あめなので、行きません。</li><li><ruby>ます<rt>ます</rt></ruby>形：动词敬体结尾。例：食べます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_暖かい.mp3]
頭,头、脑袋,頭が痛いので早く寝ます。,因为头痛所以早些睡觉。,<ruby>頭<rt>あたま</rt></ruby>が<ruby>痛い<rt>いたい</rt></ruby>ので<ruby>早く<rt>はやく</rt></ruby><ruby>寝ます<rt>ねます</rt></ruby>。,<ol><li>「ので」表示原因，相当于“因为”。例：寒いので帰ります。</li><li>「〜ます」为敬体动词结尾，表达礼貌。例：食べます。</li></ol>,[sound:jlpt_vocabulary_in_sentence_頭.mp3]
新しい,新的,新しい本を買いました。,我买了新书。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>本<rt>ほん</rt></ruby>を<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li><ruby>新しい<rt>あたらしい</rt></ruby>是い形容词，用于描述新事物。例如：新しい車。</li><li>「動詞ます形＋ました」表示过去已完成的动作。如：食べました。</li></ol>,[sound:jlpt_vocabulary_in_sentence_新しい.mp3]
あちら,那边,あちらに有名な店があります。,那边有一家有名的店。,あちらに<ruby>有名<rt>ゆうめい</rt></ruby>な<ruby>店<rt>みせ</rt></ruby>があります。,<ol><li><ruby>あちら</ruby>：指较远的方向或事物。例如：あちらへ行きます。</li><li><ruby>有名な</ruby><rt>ゆうめいな</rt>接名词：形容词型名词修饰，例：有名な人。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あちら.mp3]
暑い,炎热,今日はとても暑いですね。,今天非常炎热呢。,<ruby>今日<rt>きょう</rt></ruby>はとても<ruby>暑い<rt>あつい</rt></ruby>ですね。,<ol><li>「〜は〜です」句型，表示简单判断，例如：今日は晴れです。</li><li><ruby>形容词</ruby><rt>けいようし</rt>「暑い」表示天气炎热。例如：部屋が暑い。</li></ol>,[sound:jlpt_vocabulary_in_sentence_暑い.mp3]
熱い,热，烫,このスープはとても熱いです。,这碗汤非常烫。,このスープはとても<ruby>熱い<rt>あつい</rt></ruby>です。,<ol><li>「熱い」表示温度高，多用于形容物体或液体温度。例如：<ruby>熱い</ruby><rt>あつい</rt>お茶。</li><li>敬体句末用「です」表示礼貌。例如：暑いです。</li></ol>,[sound:jlpt_vocabulary_in_sentence_熱い.mp3]
厚い,厚的,この本はとても厚いです。,这本书很厚。,<ruby>この<rt>この</rt></ruby><ruby>本<rt>ほん</rt></ruby>は<ruby>とても<rt>とても</rt></ruby><ruby>厚い<rt>あつい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li><ruby>は</ruby><rt>は</rt>：表示主语，连接主语和述语。例：<ruby>私は学生です</ruby><rt>わたしはがくせいです</rt>。</li><li>形容词<ruby>厚い</ruby><rt>あつい</rt>：修饰名词或作谓语，表示“厚的”。例：<ruby>厚いノート</ruby><rt>あついのーと</rt>。</li></ol>,[sound:jlpt_vocabulary_in_sentence_厚い.mp3]
あっち,那边,あっちに公園があります。,那边有公园。,<ruby>あっち<rt>あっち</rt></ruby>に<ruby>公園<rt>こうえん</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li><ruby>あっち</ruby>指示远离说话人和听话人的方向，相当于“那边”。如：あっちへ行く。</li><li><ruby>あります</ruby>用于表示存在（物品），多指无生命体。如：本が机の上にあります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あっち.mp3]
後,之后,昼ご飯の後に散歩しました。,午饭后去散步了。,<ruby>昼ご飯<rt>ひるごはん</rt></ruby>の<ruby>後<rt>あと</rt></ruby>に<ruby>散歩しました<rt>さんぽしました</rt></ruby>。,<ol><li><ruby>後<rt>あと</rt></ruby>表示“以后、之后”，常接在名词后。<br>例：食事の後。</li><li>用<ruby>〜の後<rt>のあと</rt></ruby>表达“～之后”。<br>例：授業の後、図書館へ行く。</li></ol>,[sound:jlpt_vocabulary_in_sentence_後.mp3]
あなた,你、您,あなたの名前を教えてください。,请告诉我你的名字。,<ruby>あなた<rt>あなた</rt></ruby><ruby>の<rt>の</rt></ruby><ruby>名前<rt>なまえ</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>教えて<rt>おしえて</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>「あなた」用作第二人称，指称对方。如：あなたは学生です。</li><li>「ください」用于请求对方做某事。如：見せてください。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あなた.mp3]
兄,哥哥,兄は大学で勉強しています。,哥哥在大学里学习。,<ruby>兄<rt>あに</rt></ruby>は<ruby>大学<rt>だいがく</rt></ruby>で<ruby>勉強<rt>べんきょう</rt></ruby><ruby>しています<rt>しています</rt></ruby>。,<ol><li><ruby>は</ruby><rt>は</rt>：作为主题助词，表示句子的主语。例如：彼は学生です。</li><li><ruby>で</ruby><rt>で</rt>：表示动作发生的场所。例如：図書館で読む。</li></ol>,[sound:jlpt_vocabulary_in_sentence_兄.mp3]
姉,姐姐,私の姉は毎日早く起きます。,我的姐姐每天早起。,<ruby>私<rt>わたし</rt></ruby>の<ruby>姉<rt>あね</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby>早く<rt>はやく</rt></ruby><ruby>起きます<rt>おきます</rt></ruby>。,<ol><li><ruby>の</ruby><rt>の</rt> 表示所属关系。例如：私の姉（我的姐姐）。</li><li><ruby>は</ruby><rt>は</rt> 作主语提示词，用于标示句子的主语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_姉.mp3]
アパート,公寓,私は新しいアパートに引っ越しました。,我搬进了新的公寓。,<ruby>私<rt>わたし</rt></ruby>は<ruby>新しい<rt>あたらしい</rt></ruby>アパートに<ruby>引っ越しました<rt>ひっこしました</rt></ruby>。,<ol><li>助词<ruby>に<rt>に</rt></ruby>表示移动的目的地，例如：学校に行きます。</li><li>动词<ruby>引っ越す<rt>ひっこす</rt></ruby>表示“搬家”，可用于表达地点迁移。</li></ol>,[sound:jlpt_vocabulary_in_sentence_アパート.mp3]
あの,那个,あの本は私のです。,那本书是我的。,<ruby>あの<rt>あの</rt></ruby><ruby>本<rt>ほん</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>の<ruby>です<rt>です</rt></ruby>。,<ol><li><ruby>あの</ruby><rt>あの</rt>用于指离双方都远的事物，例如：あの人。</li><li>名词+は 私のです：表示归属，如「本は私のです」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あの.mp3]
浴びる,淋浴,朝にシャワーを浴びる。,早上洗淋浴。,<ruby>朝<rt>あさ</rt></ruby>にシャワーを<ruby>浴びる<rt>あびる</rt></ruby>。,<ol><li><ruby>動詞</ruby><rt>どうし</rt></ruby>「浴びる」表示让身体接触液体，如水或阳光。例如：水を浴びる。</li><li>助词「を」表示动作的对象：シャワーを浴びる。</li></ol>,[sound:jlpt_vocabulary_in_sentence_浴びる.mp3]
危ない,危险,夜道は危ないから気をつけて。,夜路很危险，请小心。,<ruby>夜道<rt>よみち</rt></ruby>は<ruby>危ない<rt>あぶない</rt></ruby>から<ruby>気をつけて<rt>きをつけて</rt></ruby>。,<ol><li>「<ruby>危<rt>あぶ</rt></ruby>ない」形容词，表示有危险。</li><li>「から」表原因，如：寒いから帰ります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_危ない.mp3]
甘い,甜的,このケーキは甘いですね。,这个蛋糕很甜啊。,<ruby>この<rt>この</rt></ruby><ruby>ケーキ<rt>けーき</rt></ruby>は<ruby>甘い<rt>あまい</rt></ruby><ruby>ですね<rt>ですね</rt></ruby>。,<ol><li>形容词「<ruby>甘い<rt>あまい</rt></ruby>」修饰名词，表示“甜的”。例：甘い果物。</li><li>句末加「ですね」用于表达感叹或确认。例：きれいですね。</li></ol>,[sound:jlpt_vocabulary_in_sentence_甘い.mp3]
余り,剩余,ご飯の余りを冷蔵庫に入れました。,把剩下的饭放进了冰箱。,<ruby>ご飯<rt>ごはん</rt></ruby>の<ruby>余り<rt>あまり</rt></ruby>を<ruby>冷蔵庫<rt>れいぞうこ</rt></ruby>に<ruby>入れました<rt>いれました</rt></ruby>。,<ol><li><ruby>余り</ruby><rt>あまり</rt> 可当名词表示“剩余的东西”。例：パンの余り。</li><li>接续：名词后加「の余り」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_余り.mp3]
雨,雨,朝から雨が降っています。,从早上起就下雨了。,<ruby>朝<rt>あさ</rt></ruby>から<ruby>雨<rt>あめ</rt></ruby>が<ruby>降っています<rt>ふっています</rt></ruby>。,<ol><li><ruby>から<rt>から</rt></ruby>：表示起点，意为“从”；例：学校から帰ります。</li><li><ruby>～ています<rt>ています</rt></ruby>：表示持续状态；例：勉強しています。</li></ol>,[sound:jlpt_vocabulary_in_sentence_雨.mp3]
飴,糖果,子供は飴が好きです。,小孩喜欢糖果。,<ruby>子供<rt>こども</rt></ruby>は<ruby>飴<rt>あめ</rt></ruby>が<ruby>好き<rt>すき</rt></ruby>です。,<ol><li>「は」表示主题：如「私は学生です。」</li><li>「好き」表示喜欢某物，要用「が」表示宾语。</li></ol>,[sound:jlpt_vocabulary_in_sentence_飴.mp3]
洗う,洗，清洗,毎朝顔を洗う習慣があります。,我每天早上有洗脸的习惯。,<ruby>毎朝<rt>まいあさ</rt></ruby><ruby>顔<rt>かお</rt></ruby>を<ruby>洗う<rt>あらう</rt></ruby><ruby>習慣<rt>しゅうかん</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li><ruby>動詞</ruby><rt>どうし</rt></ruby>「～を<ruby>洗う</ruby><rt>あらう</rt></ruby>」表示对宾语进行清洗，如「手を洗う」。</li><li>助词「が」表主语，例：犬が好きです。</li></ol>,[sound:jlpt_vocabulary_in_sentence_洗う.mp3]
在る,存在，有,机の上に本が在る。,桌子上有一本书。,<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>が<ruby>在る<rt>ある</rt></ruby>。,<ol><li><ruby>在る<rt>ある</rt></ruby>表示“有、存在”，用于无生命物、抽象物。例：ここに問題がある。</li><li>“名词+がある”构成存在句。例：箱の中にりんごがある。</li></ol>,[sound:jlpt_vocabulary_in_sentence_在る.mp3]
有る,有，存在,机の上に本が有る。,桌子上有书。,<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>本<rt>ほん</rt></ruby>が<ruby>有る<rt>ある</rt></ruby>。,<ol><li><ruby>有る<rt>ある</rt></ruby>用于表示无生命物体或事物的存在。例如：「机の上に本が有る。」</li><li>格助词「に」表示存在的位置。例如：「公園に木が有る。」</li></ol>,[sound:jlpt_vocabulary_in_sentence_有る.mp3]
歩く,步行,毎朝公園を歩くのが好きです。,我喜欢每天早上在公园散步。,<ruby>毎朝<rt>まいあさ</rt></ruby><ruby>公園<rt>こうえん</rt></ruby>を<ruby>歩く<rt>あるく</rt></ruby>のが<ruby>好き<rt>すき</rt></ruby>です。,<ol><li>動詞基本形（如<ruby>歩<rt>ある</rt></ruby>く）用于表示习惯性动作。例如：パンを食べる。</li><li>喜欢做某事常用“〜のが好き”，如：映画を見るのが好き。</li></ol>,[sound:jlpt_vocabulary_in_sentence_歩く.mp3]
あれ,那个,あれは山です。,那是山。,<ruby>あれ<rt>あれ</rt></ruby>は<ruby>山<rt>やま</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li><ruby>あれ<rt>あれ</rt></ruby>用于指远离说话人和听话人的事物。例如：“あれは鳥です。”</li><li>“は”是主题助词，表示主语。例：私は学生です。</li></ol>,[sound:jlpt_vocabulary_in_sentence_あれ.mp3]
いい; よい,好，好的,きょうはいい天気ですね。,今天的天气很好呢。,<ruby>きょう<rt>きょう</rt></ruby>は<ruby>いい<rt>いい</rt></ruby><ruby>天気<rt>てんき</rt></ruby><ruby>です<rt>です</rt></ruby>ね。,<ol><li><ruby>いい</ruby>是形容词，表示“好”。用于描述人或事物的状态，如：いい人（好人）。</li><li><ruby>です</ruby>是礼貌表达的句尾助动词，表示陈述语气，如：これは本です（这是书）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いい; よい.mp3]
いいえ,不是,彼はいいえと言いました。,他说了不是。,<ruby>彼<rt>かれ</rt></ruby>はいいえと<ruby>言いました<rt>いいいました</rt></ruby>。,<ol><li><ruby>いいえ</ruby>：用于否定或拒绝，相当于“不是、没有”。如：“いいえ、違います。”</li><li>动词<ruby>ました</ruby>：表示过去时，常用于正式场合。例如：“食べました”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いいえ.mp3]
言う,说，讲,先生が明日来ると言いました。,老师说明天会来。,<ruby>先生<rt>せんせい</rt></ruby>が<ruby>明日<rt>あした</rt></ruby><ruby>来る<rt>くる</rt></ruby>と<ruby>言いました<rt>いいました</rt></ruby>。,<ol><li>动词「<ruby>言う<rt>いう</rt></ruby>」可用于表达“说”的含义，例如：彼が来ると言う。</li><li>「と」+「言う」表示引用前面的话，例如：〜と<ruby>言う<rt>いう</rt></ruby>。</li></ol>,[sound:jlpt_vocabulary_in_sentence_言う.mp3]
家,家,私は家で本を読みます。,我在家里看书。,<ruby>私<rt>わたし</rt></ruby>は<ruby>家<rt>いえ</rt></ruby>で<ruby>本<rt>ほん</rt></ruby>を<ruby>読みます<rt>よみます</rt></ruby>。,<ol><li>助词「で」表示动作发生的场所：例：<ruby>家<rt>いえ</rt></ruby>で遊ぶ。</li><li>「を」用于连接动作对象，本句中“本を読みます”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_家.mp3]
いかが,如何，怎么样,この料理はいかがですか。,这道菜您觉得如何？,この<ruby>料理<rt>りょうり</rt></ruby>はいかがですか。,<ol><li>敬语用法：「いかが」是「どう」的礼貌说法，常用于询问对方意见或感受，如「いかがですか」表示“您觉得如何”。</li><li>句末用「〜ですか」表达疑问，如「お元気ですか」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いかが.mp3]
行く,去,明日友達と映画に行く。,明天和朋友去看电影。,<ruby>明日<rt>あした</rt></ruby><ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>に<ruby>行く<rt>いく</rt></ruby>。,<ol><li><ruby>行く<rt>いく</rt></ruby>表示动作的去向，接在表示场所的“に”后面，如“学校に行く”。</li><li>“と”可表示与某人一起，如“友達と行く”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_行く.mp3]
いくつ,多少个,りんごがいくつありますか。,有几个苹果？,りんごがいくつありますか。,<ol><li><ruby>いくつ<rt>いくつ</rt></ruby>用于询问数量，后接动词。例：ボールがいくつありますか。</li><li><ruby>あります<rt>あります</rt></ruby>表示“有”或“存在”。例：本が三冊あります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いくつ.mp3]
いくら,多少钱,このりんごはいくらですか。,这个苹果多少钱？,<ruby>この<rt>この</rt></ruby><ruby>りんご<rt>りんご</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>いくら<rt>いくら</rt></ruby><ruby>です<rt>です</rt></ruby><ruby>か<rt>か</rt></ruby>。,<ol><li><ruby>いくら</ruby> 作为疑问词，表示“多少钱”。例：いくら です か。</li><li><ruby>ですか</ruby> 用于句末构成疑问句。例：これは なん ですか。</li></ol>,[sound:jlpt_vocabulary_in_sentence_いくら.mp3]
池,池塘,公園に大きな池があります。,公园里有一个大池塘。,<ruby>公園<rt>こうえん</rt></ruby>に<ruby>大きな<rt>おおきな</rt></ruby><ruby>池<rt>いけ</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li>名词后加「にある」表示某物在某处，例如：<ruby>机<rt>つくえ</rt></ruby>の上に本があります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_池.mp3]
医者,医生,医者は患者の話をよく聞きます。,医生会认真听病人的诉说。,<ruby>医者<rt>いしゃ</rt></ruby>は<ruby>患者<rt>かんじゃ</rt></ruby>の<ruby>話<rt>はなし</rt></ruby>をよく<ruby>聞きます<rt>ききます</rt></ruby>。,<ol><li>「は」是提示主题的助词，用于表示主语。例如：<ruby>医者<rt>いしゃ</rt></ruby>は学生です。</li><li>动词「ます」形表示礼貌语气，如「聞きます」是「听」的礼貌表达。</li></ol>,[sound:jlpt_vocabulary_in_sentence_医者.mp3]
椅子,椅子,新しい椅子を買いました。,我买了新椅子。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>椅子<rt>いす</rt></ruby>を<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>を：标记宾语。例：本を読む。</li><li>ました：表示过去时的礼貌体。例：食べました。</li></ol>,[sound:jlpt_vocabulary_in_sentence_椅子.mp3]
忙しい,忙碌,父は毎日忙しいです。,爸爸每天都很忙。,<ruby>父は<rt>ちちは</rt></ruby><ruby>毎日<rt>まいにち</rt></ruby><ruby>忙しい<rt>いそがしい</rt></ruby>です。,<ol><li><ruby>忙しい<rt>いそがしい</rt></ruby>为形容词，表示事情多、很忙。例如：今日は忙しい。</li><li><ruby>です</ruby>用于句末表达礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_忙しい.mp3]
痛い,疼痛,頭が痛いので早く休みます。,因为头疼所以早点休息。,<ruby>頭<rt>あたま</rt></ruby>が<ruby>痛い<rt>いたい</rt></ruby>ので<ruby>早く<rt>はやく</rt></ruby><ruby>休みます<rt>やすみます</rt></ruby>。,<ol><li>原因用法：动词普通形或形容词连用，接<ruby>ので<rt>ので</rt></ruby>表示原因，例如「寒いので帰ります」。</li><li>形容词<ruby>痛い<rt>いたい</rt></ruby>，意思是疼痛。可修饰具体部位，如「お腹が痛い」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_痛い.mp3]
一,一、一个,りんごを一つください。,请给我一个苹果。,りんごを<ruby>一つ<rt>ひとつ</rt></ruby>ください。,<ol><li><ruby>一つ<rt>ひとつ</rt></ruby>用于数物品，相当于“一个”。例：りんごを一つ。</li><li>助词<ruby>を<rt></rt></ruby>表示动作的对象。例：水を飲む。</li></ol>,[sound:jlpt_vocabulary_in_sentence_一.mp3]
一日,一天,一日だけ休みがあります。,只有一天休息。,<ruby>一日<rt>いちにち</rt></ruby>だけ<ruby>休み<rt>やすみ</rt></ruby>が<ruby>あります<rt>あります</rt></ruby>。,<ol><li>「だけ」表示“只、仅”，用于限定数量，如：<ruby>一日<rt>いちにち</rt></ruby>だけ。</li><li>あります用于表存在、拥有，后接无生命物品，如：休みがあります。</li></ol>,[sound:jlpt_vocabulary_in_sentence_一日.mp3]
一番,最、第一,この中で一番高い物はどれですか。,这里面最贵的东西是哪一个？,<ruby>この中で<rt>このなかで</rt></ruby><ruby>一番<rt>いちばん</rt></ruby><ruby>高い<rt>たかい</rt></ruby><ruby>物<rt>もの</rt></ruby>はどれですか。,<ol><li>「<ruby>一番<rt>いちばん</rt></ruby>」用于指“最……”的比较级，常在形容词前修饰。例：<ruby>一番<rt>いちばん</rt></ruby>大きい。</li><li>助词「で」表示在某范围之内。例：クラスで一番速い。</li></ol>,[sound:jlpt_vocabulary_in_sentence_一番.mp3]
